Feature,Importance
Crop_Encoded,0.540482
State_Encoded,0.11334304
tmin_growing_avg,0.076230265
Year,0.059806727
clay_pct,0.031578507
Longitude,0.02903256
Latitude,0.02296424
extreme_heat_flag,0.018470315
temp_prcp_interaction,0.012207909
moisture_stress,0.01024267
lat_long_interaction,0.009815936
tmax_growing_avg,0.009649789
temp_variability,0.008685908
silt_pct,0.007017217
temp_range_avg,0.006865235
long_squared,0.0066418145
rh_growing_avg,0.0057340497
gdd_total,0.0053575155
County_Encoded,0.0048496476
prcp_growing_total,0.004762066
sand_pct,0.0046146363
tavg_growing_avg,0.0043456573
heat_stress_days,0.0038800405
ph,0.0025682016
loam_index,0.0008540592
organic_matter_pct,0.0
awc,0.0
cec,0.0
bulk_density,0.0
Year_Squared,0.0
soil_quality_score,0.0
gdd_per_day,0.0
Year_Since_Start,0.0
lat_squared,0.0
